rank,player,season,games_played,tgt,incompletion_rate,int_rate,target_rate,yds_per_tgt,avg_rat,pca_score
44,Jaylon Johnson,2021,14,72,0.3888888888888889,0.013888888888888888,0.07717041800643087,7.833333333333333,93.11428571428571,-0.8758638849011776
45,Desmond King,2021,15,100,0.31,0.03,0.10787486515641856,7.52,94.57333333333332,-0.9798349329445044
46,Byron Jones,2021,15,90,0.4,0.0,0.09221311475409837,8.1,91.98,-1.0352746696744421
47,Elijah Molden,2021,14,61,0.3114754098360656,0.01639344262295082,0.09090909090909091,8.01639344262295,89.47142857142856,-1.143894886465601
48,Tyson Campbell,2021,15,81,0.30864197530864196,0.024691358024691357,0.09375,8.234567901234568,91.23333333333333,-1.1882113273348391
49,Nate Hobbs,2021,15,62,0.16129032258064516,0.016129032258064516,0.06935123042505593,6.435483870967742,85.42307692307692,-1.2508237441546675
50,Bryce Hall,2021,17,109,0.3669724770642202,0.0,0.0932420872540633,7.284403669724771,97.76470588235294,-1.2686242339592373
51,Mike Hilton,2021,17,85,0.25882352941176473,0.023529411764705882,0.08244422890397672,7.682352941176471,90.91176470588235,-1.3406731835974794
52,Fabian Moreau,2021,16,88,0.375,0.0,0.08486017357762778,7.3522727272727275,99.18125,-1.351554170481875
53,Jourdan Lewis,2021,16,76,0.27631578947368424,0.039473684210526314,0.09015421115065243,9.026315789473685,91.3375,-1.3957314197114834
54,Bashaud Breeland,2021,13,88,0.3409090909090909,0.022727272727272728,0.13037037037037036,8.840909090909092,97.13846153846154,-1.4527018169455865
55,Cameron Sutton,2021,16,72,0.3055555555555556,0.027777777777777776,0.062445793581960105,8.569444444444445,94.09375,-1.517621359071846
56,Steven Nelson,2021,16,72,0.3194444444444444,0.013888888888888888,0.06837606837606838,8.01388888888889,96.0,-1.5794240444649115
57,Kyle Fuller,2021,13,67,0.3582089552238806,0.0,0.09305555555555556,8.253731343283581,98.67692307692307,-1.7448527485717125
58,Shaquill Griffin,2021,14,66,0.30303030303030304,0.0,0.07551487414187644,8.212121212121213,92.35000000000001,-1.7631406468746864
59,Mackensie Alexander,2021,16,70,0.34285714285714286,0.0,0.10144927536231885,9.257142857142858,97.15625,-1.967003749939249
60,Josh Norman,2021,13,60,0.31666666666666665,0.016666666666666666,0.078125,9.033333333333333,98.69999999999999,-1.9986632591780111
61,Michael Carter II,2021,15,73,0.2465753424657534,0.0,0.09407216494845361,7.5479452054794525,95.94,-2.03893415479349
62,Marco Wilson,2021,14,74,0.2972972972972973,0.0,0.09261576971214018,7.945945945945946,103.11428571428573,-2.2878944563618546
63,Kindle Vildor,2021,14,59,0.3050847457627119,0.0,0.07186358099878197,10.135593220338983,109.75714285714287,-3.027074028186413
1,James Bradberry,2022,17,86,0.5116279069767442,0.03488372093023256,0.07037643207855974,4.441860465116279,65.39999999999999,3.476200274397162
2,Cameron Sutton,2022,16,73,0.4794520547945205,0.0410958904109589,0.07841031149301826,5.315068493150685,65.1125,3.0783216393552806
3,Michael Davis,2022,14,70,0.5,0.014285714285714285,0.08353221957040573,4.814285714285714,67.85,2.8601926203487054
4,Darious Williams,2022,17,91,0.4945054945054945,0.0,0.08472998137802606,5.0,70.49411764705883,2.5011887082337507
5,Riq Woolen,2022,16,66,0.3939393939393939,0.09090909090909091,0.06984126984126984,6.348484848484849,64.26875,2.3572651672058744
6,Sauce Gardner,2022,17,86,0.4418604651162791,0.023255813953488372,0.09942196531791908,5.255813953488372,68.70588235294117,2.141428950096744
7,Tyson Campbell,2022,17,83,0.42168674698795183,0.03614457831325301,0.06509803921568627,5.216867469879518,77.21764705882353,2.035784041525202
8,Steven Nelson,2022,13,62,0.3870967741935484,0.016129032258064516,0.06471816283924843,5.919354838709677,72.21538461538461,1.4572042017115476
9,Michael Jackson,2022,17,86,0.43023255813953487,0.011627906976744186,0.07497820401046207,5.674418604651163,79.99411764705883,1.239039566273807
10,Jaycee Horn,2022,13,60,0.4,0.05,0.07389162561576355,7.15,70.57692307692308,1.1764365908400836
11,Jonathan Jones,2022,16,91,0.42857142857142855,0.04395604395604396,0.1017897091722595,6.461538461538462,73.31875,1.1019943973097115
12,Patrick Surtain II,2022,16,77,0.38961038961038963,0.025974025974025976,0.06962025316455696,6.077922077922078,77.775,1.019058521782683
13,Bradley Roby,2022,13,63,0.4603174603174603,0.0,0.10031847133757962,6.492063492063492,72.9,1.0073374248800362
14,Martin Emerson,2022,16,91,0.4945054945054945,0.0,0.1439873417721519,5.384615384615385,77.99375,0.9968555007515791
15,Charvarius Ward,2022,17,95,0.42105263157894735,0.010526315789473684,0.08304195804195805,6.442105263157894,75.22941176470589,0.9073515939087535
16,Greg Newsome II,2022,15,69,0.42028985507246375,0.0,0.07607497243660419,5.884057971014493,80.34666666666666,0.8888693009923108
17,Stephon Gilmore,2022,16,89,0.4157303370786517,0.02247191011235955,0.08372530573847602,6.48314606741573,76.6,0.8434062743969288
18,Jaire Alexander,2022,16,82,0.34146341463414637,0.06097560975609756,0.09100998890122086,6.975609756097561,70.31875,0.6724586387310119
19,Mike Hilton,2022,14,69,0.36231884057971014,0.014492753623188406,0.08156028368794327,6.231884057971015,75.83571428571429,0.5836810164728514
20,Jamel Dean,2022,15,65,0.4153846153846154,0.03076923076923077,0.07344632768361582,7.2153846153846155,78.86666666666666,0.5496906695627197
21,D.J. Reed,2022,17,85,0.35294117647058826,0.011764705882352941,0.07482394366197183,5.752941176470588,81.71176470588235,0.4780523447492444
22,Marco Wilson,2022,14,87,0.39080459770114945,0.034482758620689655,0.11196911196911197,6.275862068965517,79.34285714285714,0.28089817190764366
23,Carlton Davis,2022,13,93,0.43010752688172044,0.010752688172043012,0.10580204778156997,6.688172043010753,80.80000000000001,0.15307197553178833
24,Michael Carter II,2022,17,77,0.3246753246753247,0.025974025974025976,0.1051912568306011,6.142857142857143,75.18235294117646,0.15125672786811747
25,Darius Slay,2022,16,79,0.379746835443038,0.0379746835443038,0.06887532693984307,6.734177215189874,85.9125,0.14957019593558002
26,Kendall Fuller,2022,16,74,0.40540540540540543,0.04054054054054054,0.07177497575169738,7.972972972972973,80.8,0.14330887951401128
27,Bryce Callahan,2022,15,54,0.2962962962962963,0.05555555555555555,0.08256880733944955,6.851851851851852,76.29333333333334,0.0526247959265947
28,Dane Jackson,2022,15,78,0.38461538461538464,0.02564102564102564,0.08823529411764706,6.897435897435898,81.33333333333333,0.03838915062097344
29,Levi Wallace,2022,14,77,0.4155844155844156,0.05194805194805195,0.10860366713681241,8.441558441558442,75.31428571428572,0.0033945873807109794
30,Denzel Ward,2022,14,69,0.34782608695652173,0.043478260869565216,0.09224598930481283,7.681159420289855,74.37142857142858,-0.020608121115035783
31,Asante Samuel Jr.,2022,17,87,0.42528735632183906,0.022988505747126436,0.08317399617590822,7.195402298850575,85.7235294117647,-0.031730915322876765
32,L'Jarius Sneed,2022,17,104,0.3076923076923077,0.028846153846153848,0.08353413654618475,6.240384615384615,81.2235294117647,-0.11289336748507166
33,Kader Kohou,2022,15,115,0.4,0.008695652173913044,0.1419753086419753,6.069565217391304,79.73333333333333,-0.19866937998012302
34,Darnay Holmes,2022,14,67,0.3880597014925373,0.0,0.10518053375196232,6.492537313432836,81.53846153846153,-0.20280860990950692
35,Trevon Diggs,2022,16,85,0.3176470588235294,0.03529411764705882,0.06724683544303797,7.91764705882353,78.3375,-0.3276206252011372
36,AJ Terrell,2022,14,75,0.44,0.0,0.09386733416770963,6.373333333333333,92.97142857142856,-0.34970364662811626
37,Patrick Peterson,2022,17,89,0.34831460674157305,0.056179775280898875,0.07561597281223449,7.820224719101123,84.32352941176471,-0.3997721317520375
38,Eli Apple,2022,15,79,0.43037974683544306,0.0,0.07175295186194369,8.316455696202532,84.92666666666668,-0.4079551431829527
39,Marlon Humphrey,2022,16,79,0.31645569620253167,0.0379746835443038,0.07123534715960325,7.468354430379747,81.9625,-0.4386098650289924
40,Desmond King,2022,17,56,0.25,0.03571428571428571,0.06100217864923747,6.517857142857143,82.9,-0.44568132297392515
41,Fabian Moreau,2022,14,81,0.4074074074074074,0.0,0.0941860465116279,6.827160493827161,87.15714285714286,-0.4467532217376016
42,Rasul Douglas,2022,17,84,0.30952380952380953,0.047619047619047616,0.09190371991247265,6.940476190476191,84.04705882352941,-0.610498838606645
43,Jalen Ramsey,2022,17,91,0.32967032967032966,0.04395604395604396,0.08449396471680594,7.241758241758242,86.36875,-0.6746888950610455
44,Damarri Mathis,2022,14,81,0.30864197530864196,0.0,0.10742705570291777,6.333333333333333,83.13571428571429,-0.8693989502946965
45,Taron Johnson,2022,16,100,0.34,0.01,0.08976660682226212,5.92,96.41875,-0.947632508608698
46,Deommodore Lenoir,2022,15,83,0.3253012048192771,0.012048192771084338,0.07742537313432836,8.373493975903614,85.47333333333333,-1.2535147877825534
47,Jeff Okudah,2022,15,77,0.38961038961038963,0.012987012987012988,0.09709962168978563,8.844155844155845,87.48,-1.3146851983061607
48,Xavien Howard,2022,15,84,0.39285714285714285,0.011904761904761904,0.07977207977207977,9.273809523809524,92.48666666666666,-1.4128397710126435
49,Amik Robertson,2022,15,64,0.359375,0.03125,0.09453471196454949,8.515625,89.91333333333334,-1.4170927254580041
50,Myles Bryant,2022,17,70,0.3142857142857143,0.014285714285714285,0.10159651669085631,7.271428571428571,90.48235294117647,-1.5777264184812123
51,Chandon Sullivan,2022,17,72,0.2916666666666667,0.0,0.07135777998017839,8.86111111111111,89.8294117647059,-1.980227222341678
52,C.J. Henderson,2022,16,84,0.2857142857142857,0.023809523809523808,0.10980392156862745,8.142857142857142,89.3,-2.096166827002875
53,Paulson Adebo,2022,13,76,0.34210526315789475,0.0,0.09359605911330049,8.736842105263158,93.45384615384616,-2.1119931074109837
54,Marcus Peters,2022,13,84,0.34523809523809523,0.011904761904761904,0.10592686002522068,8.464285714285714,101.88461538461539,-2.6429000734884593
55,Roger McCreary,2022,17,108,0.3148148148148148,0.009259259259259259,0.11960132890365449,7.87037037037037,100.5,-2.7900656383966402
